Row ID+O6G3A1:R6,Order ID/Invoice no.,Order Date,Membership Plan,Customer ID,Customer Name,Segment,City,State,Region,Product ID,Category,Sales,months,Profit,Membership cancelled
7809,US-2019-137295,8/1/2019,Standard Class,VS-21820,Vivek Sundaresam,Consumer,Raleigh,North Carolina,South,OFF-AR-10001955,Office Supplies,47.616,,5.952,
7810,US-2019-137295,8/1/2019,Standard Class,VS-21820,Vivek Sundaresam,Consumer,Raleigh,North Carolina,South,TEC-PH-10004080,Technology,108.784,,10.8784,
3209,CA-2019-108882,9/1/2019,Standard Class,LA-16780,Laura Armstrong,Corporate,Fresno,California,West,TEC-AC-10000420,Technology,349.95,,118.983,
3210,CA-2019-108882,9/1/2019,Standard Class,LA-16780,Laura Armstrong,Corporate,Fresno,California,West,TEC-PH-10002726,Technology,377.928,,141.723,
3702,CA-2019-126543,9/1/2019,Second Class,MF-17665,Maureen Fritzler,Corporate,Toledo,Ohio,East,FUR-FU-10002445,Furniture,15.168,,3.792,
4667,CA-2019-116547,10/1/2019,Standard Class,KB-16585,Ken Black,Corporate,Seattle,Washington,West,FUR-FU-10000076,Furniture,79.92,,34.3656,
4668,CA-2019-116547,10/1/2019,Standard Class,KB-16585,Ken Black,Corporate,Seattle,Washington,West,TEC-AC-10002335,Technology,69.98,,13.2962,
6970,CA-2019-163937,10/1/2019,Second Class,JB-16000,Joy Bell-,Consumer,Longview,Washington,West,FUR-FU-10000010,Furniture,24.85,,7.7035,
1026,CA-2019-126529,11/1/2019,Second Class,DE-13255,Deanra Eno,Home Office,Springfield,Ohio,East,OFF-PA-10001166,Office Supplies,15.552,,5.4432,
1027,CA-2019-126529,11/1/2019,Second Class,DE-13255,Deanra Eno,Home Office,Springfield,Ohio,East,OFF-PA-10003656,Office Supplies,63.312,,20.5764,
1028,CA-2019-126529,11/1/2019,Second Class,DE-13255,Deanra Eno,Home Office,Springfield,Ohio,East,TEC-PH-10000148,Technology,15.588,,-9.8724,
8522,CA-2019-141887,11/1/2019,Standard Class,MP-17470,Mark Packer,Home Office,Columbus,Ohio,East,FUR-FU-10002268,Furniture,54.992,,8.9362,
7269,CA-2019-133368,1/14/2019,Standard Class,AG-10675,Anna Gayman,Consumer,Concord,North Carolina,South,OFF-PA-10004039,Office Supplies,89.568,,32.4684,
7270,CA-2019-133368,1/14/2019,Standard Class,AG-10675,Anna Gayman,Consumer,Concord,North Carolina,South,FUR-FU-10003374,Furniture,315.776,,31.5776,
2878,CA-2019-152072,1/15/2019,Standard Class,Dp-13240,Dean percer,Home Office,Westfield,New Jersey,East,OFF-EN-10003040,Office Supplies,52.34,,24.5998,
2879,CA-2019-152072,1/15/2019,Standard Class,Dp-13240,Dean percer,Home Office,Westfield,New Jersey,East,OFF-AR-10001573,Office Supplies,4.66,,1.3514,
2880,CA-2019-152072,1/15/2019,Standard Class,Dp-13240,Dean percer,Home Office,Westfield,New Jersey,East,TEC-AC-10000844,Technology,254.97,,91.7892,
3236,CA-2019-140746,1/15/2019,Same Day,RC-19825,Roy Collins,Consumer,Fairfield,Connecticut,East,FUR-TA-10002903,Furniture,181.797,,-15.5826,
3742,CA-2019-137848,1/15/2019,Standard Class,WB-21850,William Brown,Consumer,New York City,New York,East,OFF-EN-10001137,Office Supplies,16.52,,7.5992,
3743,CA-2019-137848,1/15/2019,Standard Class,WB-21850,William Brown,Consumer,New York City,New York,East,OFF-PA-10004285,Office Supplies,60.12,,28.8576,
3744,CA-2019-137848,1/15/2019,Standard Class,WB-21850,William Brown,Consumer,New York City,New York,East,OFF-BI-10002225,Office Supplies,49.536,,17.3376,
5968,CA-2019-166912,1/15/2019,First Class,BE-11335,Bill Eplett,Home Office,New York City,New York,East,OFF-PA-10001033,Office Supplies,81.98,,40.1702,
26,CA-2019-121755,1/16/2019,Second Class,EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,West,OFF-BI-10001634,Office Supplies,11.648,,4.2224,
27,CA-2019-121755,1/16/2019,Second Class,EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,West,TEC-AC-10003027,Technology,90.57,,11.7741,
876,CA-2019-116736,1/17/2019,Standard Class,CC-12430,Chuck Clark,Home Office,Concord,New Hampshire,East,FUR-FU-10004017,Furniture,322.59,,64.518,
877,CA-2019-116736,1/17/2019,Standard Class,CC-12430,Chuck Clark,Home Office,Concord,New Hampshire,East,TEC-AC-10003628,Technology,29.99,,13.1956,
878,CA-2019-116736,1/17/2019,Standard Class,CC-12430,Chuck Clark,Home Office,Concord,New Hampshire,East,TEC-AC-10002049,Technology,371.97,,66.9546,
2303,CA-2019-106558,1/17/2019,Standard Class,DL-13495,Dionis Lloyd,Corporate,Columbus,Georgia,South,TEC-AC-10001142,Technology,316,,31.6,
2876,US-2019-167339,1/21/2019,Second Class,TD-20995,Tamara Dahlen,Consumer,San Diego,California,West,FUR-CH-10004289,Furniture,153.568,,-5.7588,
2877,US-2019-167339,1/21/2019,Second Class,TD-20995,Tamara Dahlen,Consumer,San Diego,California,West,FUR-CH-10000785,Furniture,1013.488,,76.0116,
268,CA-2019-111010,1/22/2019,Standard Class,PG-18895,Paul Gonzalez,Consumer,Morristown,New Jersey,East,OFF-FA-10003472,Office Supplies,7.56,,0.3024,
2471,US-2019-135923,1/22/2019,Standard Class,CM-11935,Carlos Meador,Consumer,Fayetteville,North Carolina,South,FUR-FU-10002107,Furniture,14.272,,4.2816,
2472,US-2019-135923,1/22/2019,Standard Class,CM-11935,Carlos Meador,Consumer,Fayetteville,North Carolina,South,FUR-BO-10002213,Furniture,451.136,,-67.6704,
2473,US-2019-135923,1/22/2019,Standard Class,CM-11935,Carlos Meador,Consumer,Fayetteville,North Carolina,South,OFF-AP-10000692,Office Supplies,64.864,,6.4864,
2694,CA-2019-138079,1/22/2019,Standard Class,AJ-10795,Anthony Johnson,Corporate,Seattle,Washington,West,FUR-FU-10001475,Furniture,109.9,,37.366,
5675,CA-2019-146318,1/22/2019,Standard Class,MC-17275,Marc Crier,Consumer,Seattle,Washington,West,OFF-PA-10003953,Office Supplies,12.96,,6.2208,
5752,CA-2019-125850,1/22/2019,Standard Class,FP-14320,Frank Preis,Consumer,San Diego,California,West,OFF-LA-10003498,Office Supplies,44.4,,22.2,
5753,CA-2019-125850,1/22/2019,Standard Class,FP-14320,Frank Preis,Consumer,San Diego,California,West,OFF-LA-10004484,Office Supplies,20.65,,9.499,
6229,CA-2019-148208,1/22/2019,Standard Class,BT-11530,Bradley Talbott,Home Office,Cleveland,Ohio,East,TEC-PH-10004093,Technology,110.376,,-20.2356,
6230,CA-2019-148208,1/22/2019,Standard Class,BT-11530,Bradley Talbott,Home Office,Cleveland,Ohio,East,TEC-AC-10000171,Technology,55.176,,15.8631,
6238,US-2019-155180,1/22/2019,Standard Class,TB-21280,Toby Braunhardt,Consumer,New York City,New York,East,OFF-BI-10004506,Office Supplies,26.336,,9.2176,
7294,CA-2019-113656,1/23/2019,Standard Class,CB-12415,Christy Brittain,Consumer,Los Angeles,California,West,FUR-FU-10000719,Furniture,59.99,,21.5964,
9147,US-2019-165505,1/23/2019,Standard Class,CB-12535,Claudia Bergmann,Corporate,Burlington,Vermont,East,TEC-AC-10002926,Technology,99.98,,42.9914,
9148,US-2019-165505,1/23/2019,Standard Class,CB-12535,Claudia Bergmann,Corporate,Burlington,Vermont,East,OFF-AR-10003477,Office Supplies,8.04,,2.7336,
9149,US-2019-165505,1/23/2019,Standard Class,CB-12535,Claudia Bergmann,Corporate,Burlington,Vermont,East,OFF-ST-10001526,Office Supplies,1564.29,,406.7154,
4612,CA-2019-109407,1/24/2019,Second Class,HG-14965,Henry Goldwyn,Corporate,Gulfport,Mississippi,South,OFF-BI-10000285,Office Supplies,31.36,,15.68,
4327,CA-2019-153346,1/25/2019,First Class,TB-21355,Todd Boyes,Corporate,Plainfield,New Jersey,East,OFF-AR-10000315,Office Supplies,9.21,,2.3025,
4328,CA-2019-153346,1/25/2019,First Class,TB-21355,Todd Boyes,Corporate,Plainfield,New Jersey,East,OFF-PA-10000007,Office Supplies,18,,8.28,
9358,CA-2019-168046,1/25/2019,Second Class,JD-15895,Jonathan Doherty,Corporate,New York City,New York,East,OFF-BI-10003676,Office Supplies,43.12,,15.092,
9359,CA-2019-168046,1/25/2019,Second Class,JD-15895,Jonathan Doherty,Corporate,New York City,New York,East,FUR-TA-10001095,Furniture,313.722,,-99.3453,
9360,CA-2019-168046,1/25/2019,Second Class,JD-15895,Jonathan Doherty,Corporate,New York City,New York,East,FUR-FU-10000747,Furniture,45.98,,7.8166,
9361,CA-2019-168046,1/25/2019,Second Class,JD-15895,Jonathan Doherty,Corporate,New York City,New York,East,OFF-ST-10004337,Office Supplies,428.68,,0,
8613,CA-2019-146437,1/28/2019,Second Class,HG-14965,Henry Goldwyn,Corporate,Los Angeles,California,West,OFF-AR-10000588,Office Supplies,39.68,,10.3168,
2885,CA-2019-164483,1/30/2019,Standard Class,JF-15490,Jeremy Farry,Consumer,San Francisco,California,West,OFF-BI-10000014,Office Supplies,17.456,,5.8914,
7290,CA-2019-153661,1/30/2019,First Class,SC-20725,Steven Cartwright,Consumer,San Francisco,California,West,OFF-ST-10000675,Office Supplies,305.01,,76.2525,
7291,CA-2019-153661,1/30/2019,First Class,SC-20725,Steven Cartwright,Consumer,San Francisco,California,West,OFF-BI-10004781,Office Supplies,50.784,,17.7744,
7292,CA-2019-153661,1/30/2019,First Class,SC-20725,Steven Cartwright,Consumer,San Francisco,California,West,OFF-LA-10004689,Office Supplies,26.01,,12.2247,
7565,US-2019-166660,1/30/2019,Second Class,TB-21250,Tim Brockman,Consumer,Seattle,Washington,West,FUR-CH-10001190,Furniture,435.168,,-59.8356,
7566,US-2019-166660,1/30/2019,Second Class,TB-21250,Tim Brockman,Consumer,Seattle,Washington,West,FUR-BO-10000468,Furniture,48.58,,7.7728,
8176,CA-2019-114944,1/30/2019,Standard Class,HE-14800,Harold Engle,Corporate,Chicago,Illinois,Central,OFF-PA-10003892,Office Supplies,156.512,,52.8228,
8925,CA-2019-168032,1/30/2019,Standard Class,DF-13135,David Flashing,Consumer,Rockford,Illinois,Central,TEC-PH-10004241,Technology,1439.968,,143.9968,
8926,CA-2019-168032,1/30/2019,Standard Class,DF-13135,David Flashing,Consumer,Rockford,Illinois,Central,OFF-BI-10000546,Office Supplies,1.728,,-2.6784,
8927,CA-2019-168032,1/30/2019,Standard Class,DF-13135,David Flashing,Consumer,Rockford,Illinois,Central,FUR-TA-10004256,Furniture,626.1,,-538.446,
4999,CA-2019-129238,1/31/2019,Standard Class,SC-20050,Sample Company A,Home Office,Los Angeles,California,West,TEC-PH-10004120,Technology,109.592,,8.2194,
5000,CA-2019-129238,1/31/2019,Standard Class,SC-20050,Sample Company A,Home Office,Los Angeles,California,West,OFF-PA-10002764,Office Supplies,56.7,,27.783,
5114,CA-2019-147970,1/31/2019,Second Class,AB-10150,Aimee Bixby,Consumer,Dallas,Texas,Central,OFF-PA-10003936,Office Supplies,15.552,,5.4432,
7505,CA-2019-158043,1/31/2019,Second Class,JK-15325,Jason Klamczynski,Corporate,Atlantic City,New Jersey,East,OFF-EN-10003134,Office Supplies,23.36,,11.68,
8761,CA-2019-159891,1/31/2019,Standard Class,BF-11170,Ben Ferrer,Home Office,Atlanta,Georgia,South,OFF-BI-10003527,Office Supplies,1270.99,,635.495,
8762,CA-2019-159891,1/31/2019,Standard Class,BF-11170,Ben Ferrer,Home Office,Atlanta,Georgia,South,OFF-EN-10004483,Office Supplies,125.36,,58.9192,
3242,US-2019-140809,1/2/2019,First Class,CK-12760,Cyma Kinney,Corporate,Arlington,Virginia,South,OFF-ST-10002214,Office Supplies,56.45,,14.677,
8404,CA-2019-154067,1/2/2019,Standard Class,SM-20950,Suzanne McNair,Corporate,Los Angeles,California,West,OFF-PA-10002254,Office Supplies,1105.52,,48.5392,
5614,CA-2019-147431,2/2/2019,Standard Class,AB-10105,Adrian Barton,Consumer,New York City,New York,East,OFF-ST-10003994,Office Supplies,117.96,,5.898,
8489,CA-2019-158841,2/2/2019,Second Class,SE-20110,Sanjit Engle,Consumer,Arlington,Virginia,South,TEC-MA-10001127,Technology,4749.95,,2799.984,
8490,CA-2019-158841,2/2/2019,Second Class,SE-20110,Sanjit Engle,Consumer,Arlington,Virginia,South,OFF-BI-10002557,Office Supplies,36.4,,18.2,
8491,CA-2019-158841,2/2/2019,Second Class,SE-20110,Sanjit Engle,Consumer,Arlington,Virginia,South,FUR-FU-10001731,Furniture,18.69,,7.1022,
8513,CA-2019-144645,2/2/2019,Standard Class,NS-18640,Noel Staavos,Corporate,Houston,Texas,Central,FUR-FU-10003601,Furniture,73.784,,-77.4732,
5754,CA-2019-118514,3/2/2019,Standard Class,LC-17050,Liz Carlisle,Consumer,Richmond,Kentucky,South,FUR-CH-10000015,Furniture,866.4,,225.264,
6043,CA-2019-117912,4/2/2019,Standard Class,TB-21520,Tracy Blumstein,Consumer,Sierra Vista,Arizona,West,FUR-FU-10002088,Furniture,14.368,,3.9512,
9068,CA-2019-150077,4/2/2019,Standard Class,MS-17365,Maribeth Schnelling,Consumer,Rockville,Maryland,East,TEC-PH-10002890,Technology,90.48,,23.5248,
9521,CA-2019-101189,4/2/2019,Standard Class,JB-15400,Jennifer Braxton,Corporate,Los Angeles,California,West,OFF-ST-10004180,Office Supplies,93.02,,3.7208,
1383,US-2019-108504,5/2/2019,Same Day,PP-18955,Paul Prost,Home Office,Smyrna,Georgia,South,OFF-ST-10002344,Office Supplies,80.98,,1.6196,
1384,US-2019-108504,5/2/2019,Same Day,PP-18955,Paul Prost,Home Office,Smyrna,Georgia,South,OFF-PA-10001289,Office Supplies,348.84,,170.9316,
1385,US-2019-108504,5/2/2019,Same Day,PP-18955,Paul Prost,Home Office,Smyrna,Georgia,South,OFF-FA-10000053,Office Supplies,9.45,,0.189,
1386,US-2019-108504,5/2/2019,Same Day,PP-18955,Paul Prost,Home Office,Smyrna,Georgia,South,FUR-FU-10004091,Furniture,18.84,,7.1592,
1387,US-2019-108504,5/2/2019,Same Day,PP-18955,Paul Prost,Home Office,Smyrna,Georgia,South,FUR-BO-10004015,Furniture,239.98,,52.7956,
1388,US-2019-108504,5/2/2019,Same Day,PP-18955,Paul Prost,Home Office,Smyrna,Georgia,South,OFF-EN-10003001,Office Supplies,167.96,,78.9412,
1389,US-2019-108504,5/2/2019,Same Day,PP-18955,Paul Prost,Home Office,Smyrna,Georgia,South,TEC-PH-10000215,Technology,104.85,,28.3095,
1390,US-2019-108504,5/2/2019,Same Day,PP-18955,Paul Prost,Home Office,Smyrna,Georgia,South,TEC-PH-10003645,Technology,484.83,,126.0558,
1391,US-2019-108504,5/2/2019,Same Day,PP-18955,Paul Prost,Home Office,Smyrna,Georgia,South,OFF-PA-10000357,Office Supplies,122.97,,60.2553,
1392,US-2019-108504,5/2/2019,Same Day,PP-18955,Paul Prost,Home Office,Smyrna,Georgia,South,OFF-ST-10004804,Office Supplies,154.44,,1.5444,
1393,US-2019-108504,5/2/2019,Same Day,PP-18955,Paul Prost,Home Office,Smyrna,Georgia,South,OFF-PA-10003892,Office Supplies,342.37,,160.9139,
8142,CA-2019-100993,5/2/2019,Standard Class,AZ-10750,Annie Zypern,Consumer,San Diego,California,West,OFF-LA-10003223,Office Supplies,14.73,,7.2177,
8143,CA-2019-100993,5/2/2019,Standard Class,AZ-10750,Annie Zypern,Consumer,San Diego,California,West,OFF-ST-10004340,Office Supplies,186.54,,50.3658,
8144,CA-2019-100993,5/2/2019,Standard Class,AZ-10750,Annie Zypern,Consumer,San Diego,California,West,FUR-TA-10001095,Furniture,557.728,,6.9716,
8145,CA-2019-100993,5/2/2019,Standard Class,AZ-10750,Annie Zypern,Consumer,San Diego,California,West,TEC-PH-10001448,Technology,159.968,,-31.9936,
5810,CA-2019-125017,6/2/2019,Standard Class,KB-16240,Karen Bern,Corporate,Chattanooga,Tennessee,South,FUR-FU-10000723,Furniture,132.224,,-18.1808,
1729,CA-2019-106894,7/2/2019,Same Day,CA-12265,Christina Anderson,Consumer,Springfield,Virginia,South,TEC-AC-10003063,Technology,100,,21,
1730,CA-2019-106894,7/2/2019,Same Day,CA-12265,Christina Anderson,Consumer,Springfield,Virginia,South,OFF-LA-10001045,Office Supplies,7.83,,3.6018,
2696,CA-2019-161662,7/2/2019,First Class,BE-11410,Bobby Elias,Consumer,Lancaster,Ohio,East,OFF-PA-10003465,Office Supplies,30.352,,10.6232,
9115,CA-2019-135461,7/2/2019,Second Class,EB-13975,Erica Bern,Corporate,Los Angeles,California,West,TEC-PH-10004094,Technology,623.96,,38.9975,
1828,CA-2019-109344,8/2/2019,Second Class,CH-12070,Cathy Hwang,Home Office,Raleigh,North Carolina,South,TEC-PH-10002624,Technology,1127.976,,126.8973,
8383,CA-2019-163048,8/2/2019,Standard Class,MH-17440,Mark Haberlin,Corporate,Houston,Texas,Central,FUR-CH-10001270,Furniture,241.5,,0,
8842,US-2019-112396,9/2/2019,Standard Class,JR-16210,Justin Ritter,Corporate,San Francisco,California,West,TEC-AC-10003628,Technology,89.97,,39.5868,
8843,US-2019-112396,9/2/2019,Standard Class,JR-16210,Justin Ritter,Corporate,San Francisco,California,West,TEC-AC-10004761,Technology,31.86,,11.151,
1809,CA-2019-164938,11/2/2019,First Class,PB-19210,Phillip Breyer,Corporate,Tulsa,Oklahoma,Central,TEC-PH-10004897,Technology,69.93,,0.6993,
7194,CA-2019-110492,12/2/2019,First Class,JS-15880,John Stevenson,Consumer,Atlanta,Georgia,South,OFF-ST-10003716,Office Supplies,1350.12,,175.5156,
7195,CA-2019-110492,12/2/2019,First Class,JS-15880,John Stevenson,Consumer,Atlanta,Georgia,South,OFF-BI-10003274,Office Supplies,15.92,,7.4824,
721,CA-2019-112942,2/13/2019,Standard Class,RD-19810,Ross DeVincentis,Home Office,Los Angeles,California,West,OFF-PA-10004092,Office Supplies,146.82,,73.41,
7811,CA-2019-134334,2/14/2019,First Class,DK-13090,Dave Kipp,Consumer,Clinton,Maryland,East,OFF-PA-10000791,Office Supplies,4.77,,2.1465,
7812,CA-2019-134334,2/14/2019,First Class,DK-13090,Dave Kipp,Consumer,Clinton,Maryland,East,OFF-AR-10001770,Office Supplies,7.98,,2.0748,
7813,CA-2019-134334,2/14/2019,First Class,DK-13090,Dave Kipp,Consumer,Clinton,Maryland,East,FUR-TA-10002356,Furniture,550.431,,-47.1798,
7814,CA-2019-134334,2/14/2019,First Class,DK-13090,Dave Kipp,Consumer,Clinton,Maryland,East,FUR-FU-10003274,Furniture,10.56,,4.6464,
8172,CA-2019-146150,2/14/2019,Standard Class,FM-14380,Fred McMath,Consumer,Jackson,Mississippi,South,OFF-AR-10002240,Office Supplies,264.18,,68.6868,
1243,US-2019-162859,2/15/2019,Standard Class,PG-18820,Patrick Gardner,Consumer,New York City,New York,East,OFF-BI-10004519,Office Supplies,398.352,,124.485,
1244,US-2019-162859,2/15/2019,Standard Class,PG-18820,Patrick Gardner,Consumer,New York City,New York,East,OFF-FA-10000304,Office Supplies,8.72,,3.5752,
1821,CA-2019-168956,2/16/2019,Standard Class,EA-14035,Erin Ashbrook,Corporate,Chicago,Illinois,Central,OFF-AP-10004233,Office Supplies,92.064,,-225.5568,
1822,CA-2019-168956,2/16/2019,Standard Class,EA-14035,Erin Ashbrook,Corporate,Chicago,Illinois,Central,OFF-FA-10000304,Office Supplies,6.976,,1.8312,
1823,CA-2019-168956,2/16/2019,Standard Class,EA-14035,Erin Ashbrook,Corporate,Chicago,Illinois,Central,FUR-CH-10004754,Furniture,62.958,,-2.6982,
1824,CA-2019-168956,2/16/2019,Standard Class,EA-14035,Erin Ashbrook,Corporate,Chicago,Illinois,Central,OFF-PA-10000809,Office Supplies,5.184,,1.8144,
8161,CA-2019-134138,2/16/2019,Standard Class,JD-15790,John Dryer,Consumer,Belleville,New Jersey,East,FUR-CH-10001545,Furniture,227.96,,36.4736,
9079,CA-2019-108105,2/16/2019,Standard Class,GW-14605,Giulietta Weimer,Consumer,Henderson,Kentucky,South,FUR-FU-10003773,Furniture,318.08,,34.9888,
9080,CA-2019-108105,2/16/2019,Standard Class,GW-14605,Giulietta Weimer,Consumer,Henderson,Kentucky,South,OFF-BI-10002412,Office Supplies,5.8,,2.61,
9722,CA-2019-105781,2/16/2019,Standard Class,JF-15565,Jill Fjeld,Consumer,New York City,New York,East,FUR-CH-10001802,Furniture,326.646,,39.9234,
9723,CA-2019-105781,2/16/2019,Standard Class,JF-15565,Jill Fjeld,Consumer,New York City,New York,East,TEC-AC-10003628,Technology,89.97,,39.5868,
854,CA-2019-123274,2/19/2019,Standard Class,GT-14710,Greg Tran,Consumer,New York City,New York,East,FUR-FU-10004090,Furniture,44.46,,14.6718,
855,CA-2019-123274,2/19/2019,Standard Class,GT-14710,Greg Tran,Consumer,New York City,New York,East,OFF-ST-10000736,Office Supplies,242.94,,9.7176,
4777,CA-2019-101630,2/19/2019,Second Class,CK-12760,Cyma Kinney,Corporate,Long Beach,New York,East,OFF-LA-10004425,Office Supplies,8.67,,4.0749,
4778,CA-2019-101630,2/19/2019,Second Class,CK-12760,Cyma Kinney,Corporate,Long Beach,New York,East,OFF-SU-10001664,Office Supplies,25.71,,6.6846,
7538,CA-2019-106460,2/19/2019,Second Class,GT-14710,Greg Tran,Consumer,San Francisco,California,West,OFF-PA-10001736,Office Supplies,70.88,,33.3136,
3456,CA-2019-166485,2/20/2019,Standard Class,AH-10210,Alan Hwang,Consumer,Nashville,Tennessee,South,OFF-PA-10004996,Office Supplies,16.496,,5.5674,
2989,CA-2019-139010,2/21/2019,Second Class,MC-17635,Matthew Clasen,Corporate,Los Angeles,California,West,TEC-AC-10004227,Technology,12.99,,0.7794,
2990,CA-2019-139010,2/21/2019,Second Class,MC-17635,Matthew Clasen,Corporate,Los Angeles,California,West,OFF-BI-10000174,Office Supplies,18.56,,6.496,
2991,CA-2019-139010,2/21/2019,Second Class,MC-17635,Matthew Clasen,Corporate,Los Angeles,California,West,OFF-ST-10001809,Office Supplies,449.15,,8.983,
2992,CA-2019-139010,2/21/2019,Second Class,MC-17635,Matthew Clasen,Corporate,Los Angeles,California,West,OFF-BI-10002309,Office Supplies,31.248,,10.9368,
5306,US-2019-168410,2/21/2019,Standard Class,BV-11245,Benjamin Venier,Corporate,Oceanside,New York,East,FUR-FU-10000629,Furniture,68.95,,28.959,
5307,US-2019-168410,2/21/2019,Standard Class,BV-11245,Benjamin Venier,Corporate,Oceanside,New York,East,OFF-ST-10000036,Office Supplies,296.37,,80.0199,
5308,US-2019-168410,2/21/2019,Standard Class,BV-11245,Benjamin Venier,Corporate,Oceanside,New York,East,TEC-PH-10002583,Technology,39.98,,1.999,
8277,US-2019-139262,2/21/2019,Standard Class,LC-16960,Lindsay Castell,Home Office,Tampa,Florida,South,OFF-BI-10003727,Office Supplies,3.762,,-2.7588,
8278,US-2019-139262,2/21/2019,Standard Class,LC-16960,Lindsay Castell,Home Office,Tampa,Florida,South,OFF-BI-10002026,Office Supplies,34.86,,-26.726,
8279,US-2019-139262,2/21/2019,Standard Class,LC-16960,Lindsay Castell,Home Office,Tampa,Florida,South,OFF-ST-10001496,Office Supplies,432.456,,32.4342,
9013,CA-2019-121447,2/21/2019,First Class,EA-14035,Erin Ashbrook,Corporate,New York City,New York,East,FUR-FU-10001861,Furniture,135.8,,66.542,
2345,CA-2019-119025,2/22/2019,Standard Class,PV-18985,Paul Van Hugh,Home Office,Milwaukee,Wisconsin,Central,OFF-AP-10001205,Office Supplies,490.32,,137.2896,
5405,US-2019-143280,2/22/2019,Standard Class,TZ-21580,Tracy Zic,Consumer,Los Angeles,California,West,TEC-PH-10002398,Technology,445.96,,55.745,
5406,US-2019-143280,2/22/2019,Standard Class,TZ-21580,Tracy Zic,Consumer,Los Angeles,California,West,TEC-AC-10003399,Technology,36.24,,15.2208,
5407,US-2019-143280,2/22/2019,Standard Class,TZ-21580,Tracy Zic,Consumer,Los Angeles,California,West,OFF-FA-10000992,Office Supplies,10.65,,5.0055,
